
SetupTitle, I/V-t Sampling
PrimitiveTest, I/V-t Sampling
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Time
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 200.00000000000003
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, I1
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1
TestParameter, Output.Graph.YAxis.Top, 0.1
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 09/10/2025 17:45:38
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 66
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, db1c2008-36b3-47c5-bb96-eabaa9590762
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 200.00000000000003
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1.7E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 9.2E-07
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.018826135105204873
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.018826135105204873
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.018826135105204873
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.018826135105204873
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.018826135105204873
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V-t Sampling
Dimension1, 100001, 100001
Dimension2, 1, 1
DataName, Time, I1
DataValue, 0.016200000000000003, 8.0322E-07
DataValue, 0.018750000000000003, 7.228E-07
DataValue, 0.02263, 6.8524E-07
DataValue, 0.02664, 6.1322E-07
DataValue, 0.03063, 5.7248E-07
DataValue, 0.034640000000000004, 5.2454E-07
DataValue, 0.038630000000000005, 5.0854E-07
DataValue, 0.042640000000000004, 4.9348E-07
DataValue, 0.046630000000000005, 4.5316E-07
DataValue, 0.050640000000000004, 4.3864E-07
DataValue, 0.054590000000000007, 3.983E-07
DataValue, 0.058640000000000005, 3.9198E-07
DataValue, 0.06263, 3.8044E-07
DataValue, 0.06659000000000001, 3.6669999999999997E-07
DataValue, 0.070630000000000012, 3.481E-07
DataValue, 0.074640000000000012, 4.102E-07
DataValue, 0.07863, 3.837E-07
DataValue, 0.082590000000000011, 3.5728E-07
DataValue, 0.086630000000000013, 3.9447999999999997E-07
DataValue, 0.090640000000000012, 3.0472E-07
DataValue, 0.094580000000000011, 3.0298E-07
DataValue, 0.098630000000000009, 2.9676E-07
DataValue, 0.10264000000000001, 2.939E-07
DataValue, 0.10463000000000002, 2.742E-07
DataValue, 0.10863, 2.852E-07
DataValue, 0.11263000000000001, 2.835E-07
DataValue, 0.11663000000000001, 2.9376E-07
DataValue, 0.12064000000000001, 2.287E-07
DataValue, 0.12459, 2.6868E-07
DataValue, 0.12863000000000002, 2.3876E-07
DataValue, 0.13263, 2.7952E-07
DataValue, 0.13663, 2.4236E-07
DataValue, 0.14063, 1.9088E-07
DataValue, 0.14464000000000002, 2.0784E-07
DataValue, 0.14863, 2.3454E-07
DataValue, 0.15263000000000002, 2.5804E-07
DataValue, 0.15664, 2.2588E-07
DataValue, 0.16059, 2.2692E-07
DataValue, 0.16463000000000003, 2.4076E-07
DataValue, 0.16864, 2.305E-07
DataValue, 0.17263, 1.8843999999999999E-07
DataValue, 0.17662000000000003, 1.859E-07
DataValue, 0.18063, 1.7022E-07
DataValue, 0.18464000000000003, 2.0122E-07
DataValue, 0.18858000000000003, 1.323E-07
DataValue, 0.19264, 1.889E-07
DataValue, 0.19463000000000003, 1.7038E-07
DataValue, 0.19657000000000002, 2.3302E-07
DataValue, 0.19862000000000002, 9.1732E-07
DataValue, 0.20062000000000002, 1.92E-07
DataValue, 0.20262000000000002, 2.0476E-07
DataValue, 0.20476000000000003, 2.099E-07
DataValue, 0.20859000000000003, 1.9958E-07
DataValue, 0.21062000000000003, 1.7178E-07
DataValue, 0.21289000000000002, 2.0248E-07
DataValue, 0.21672000000000002, 1.8352E-07
DataValue, 0.22059, 1.8112E-07
DataValue, 0.22458000000000003, 1.9639999999999999E-07
DataValue, 0.22864, 1.5992E-07
DataValue, 0.23263000000000003, 1.5418E-07
DataValue, 0.23663, 1.828E-07
DataValue, 0.24059000000000003, 1.6726E-07
DataValue, 0.24458000000000002, 1.6434E-07
DataValue, 0.24863000000000002, 1.6192E-07
DataValue, 0.25263, 1.561E-07
DataValue, 0.25663, 1.5518E-07
DataValue, 0.26063000000000003, 1.5528E-07
DataValue, 0.26459000000000005, 1.6072E-07
DataValue, 0.26863000000000004, 1.5462E-07
DataValue, 0.27263000000000004, 1.5589999999999999E-07
DataValue, 0.27663000000000004, 1.5276E-07
DataValue, 0.27863000000000004, 1.5346E-07
DataValue, 0.28091000000000005, 1.5006E-07
DataValue, 0.28509, 1.4972E-07
DataValue, 0.28863, 1.4772E-07
DataValue, 0.29263, 1.452E-07
DataValue, 0.29663, 1.4354E-07
DataValue, 0.30063, 1.2378E-07
DataValue, 0.30463, 1.1952E-07
DataValue, 0.30859000000000003, 1.2604E-07
DataValue, 0.31263, 1.4378E-07
DataValue, 0.31663, 1.336E-07
DataValue, 0.32063, 1.4206E-07
DataValue, 0.32463000000000003, 1.3484E-07
DataValue, 0.32863000000000003, 1.3714E-07
DataValue, 0.33263000000000004, 1.317E-07
DataValue, 0.33663000000000004, 1.155E-07
DataValue, 0.34063000000000004, 1.4818E-07
DataValue, 0.34463000000000005, 1.317E-07
DataValue, 0.34863000000000005, 1.1348E-07
DataValue, 0.35258, 1.3852E-07
DataValue, 0.35663, 1.3607999999999999E-07
DataValue, 0.36083000000000004, 1.4352E-07
DataValue, 0.36663, 1.4258E-07
DataValue, 0.36862, 1.296E-07
DataValue, 0.37108, 1.4176E-07
DataValue, 0.37464000000000003, 1.431E-07
DataValue, 0.37877000000000005, 1.2232E-07
DataValue, 0.38263, 1.2416E-07
DataValue, 0.38462, 1.4046E-07
DataValue, 0.38662, 1.1848E-07
DataValue, 0.39063000000000003, 1.8842E-07
DataValue, 0.39263000000000003, 1.8248E-07
DataValue, 0.39470000000000005, 1.2624E-07
DataValue, 0.39863000000000004, 1.2944E-07
DataValue, 0.40167, 1.2572E-07
DataValue, 0.40463000000000005, 1.0928E-07
DataValue, 0.40658000000000005, 1.0534E-07
DataValue, 0.40862000000000004, 1.0562E-07
DataValue, 0.41213000000000005, 1.0399999999999999E-07
DataValue, 0.41463000000000005, 1.0418E-07
DataValue, 0.41662000000000005, 1.0402E-07
DataValue, 0.41862000000000005, 1.0322E-07
DataValue, 0.42062000000000005, 1.0674E-07
DataValue, 0.42262000000000005, 1.3764E-07
DataValue, 0.42462000000000005, 1.3258E-07
DataValue, 0.42818000000000006, 1.2112E-07
DataValue, 0.43063, 1.2472E-07
DataValue, 0.43263, 1.2282E-07
DataValue, 0.43463, 1.1938E-07
DataValue, 0.43657, 1.204E-07
DataValue, 0.43862, 1.2032E-07
DataValue, 0.44062, 1.2098E-07
DataValue, 0.44276000000000004, 1.2118E-07
DataValue, 0.44680000000000003, 1.1758E-07
DataValue, 0.45062, 1.103E-07
DataValue, 0.45271000000000006, 1.081E-07
DataValue, 0.45663000000000004, 1.2211999999999998E-07
DataValue, 0.45862, 1.1976E-07
DataValue, 0.46057000000000003, 1.1746E-07
DataValue, 0.46257000000000004, 1.1568E-07
DataValue, 0.46462000000000003, 1.1641999999999999E-07
DataValue, 0.46662000000000003, 1.1394E-07
DataValue, 0.46873000000000004, 1.1366E-07
DataValue, 0.47258000000000006, 1.1414E-07
DataValue, 0.47458000000000006, 1.1254E-07
DataValue, 0.47662000000000004, 1.1334E-07
DataValue, 0.47862000000000005, 1.1574E-07
DataValue, 0.48062000000000005, 1.0189999999999999E-07
DataValue, 0.48262000000000005, 1.0343999999999999E-07
DataValue, 0.48611000000000004, 1.0188E-07
DataValue, 0.50182, 9.738E-08
DataValue, 0.50709, 1.0421239999999999E-07
DataValue, 0.51463, 1.0106819999999999E-07
DataValue, 0.52263, 1.0300859999999998E-07
DataValue, 0.53085, 1.050562E-07
DataValue, 0.53864, 1.011856E-07
DataValue, 0.54662, 1.013136E-07
DataValue, 0.55575000000000008, 9.9062199999999988E-08
DataValue, 0.56264, 9.7783399999999991E-08
DataValue, 0.57058000000000009, 9.8453799999999992E-08
DataValue, 0.57864, 9.546159999999999E-08
DataValue, 0.58657, 9.5036999999999993E-08
DataValue, 0.5946, 9.3532199999999991E-08
DataValue, 0.60262, 9.2359999999999988E-08
DataValue, 0.61059000000000008, 9.17852E-08
DataValue, 0.62658, 8.908199999999999E-08
DataValue, 0.63263, 8.84526E-08
DataValue, 0.64801000000000009, 8.60496E-08
DataValue, 0.65475, 8.0548999999999989E-08
DataValue, 0.66349, 7.66994E-08
DataValue, 0.67063000000000006, 7.8840399999999992E-08
DataValue, 0.68178, 9.406E-08
DataValue, 0.68908, 8.36208E-08
DataValue, 0.69663000000000008, 8.2309999999999987E-08
DataValue, 0.70463000000000009, 8.0113399999999993E-08
DataValue, 0.71284, 8.03798E-08
DataValue, 0.72059000000000006, 7.8380399999999986E-08
DataValue, 0.72663000000000011, 7.98418E-08
DataValue, 0.73463, 7.84638E-08
DataValue, 0.74263, 7.767899999999999E-08
DataValue, 0.75063, 7.6231999999999991E-08
DataValue, 0.75863, 7.7188799999999993E-08
DataValue, 0.76678, 7.56214E-08
DataValue, 0.77463, 7.4560799999999991E-08
DataValue, 0.78262000000000009, 7.51706E-08
DataValue, 0.79064, 7.31146E-08
DataValue, 0.79863000000000006, 6.54912E-08
DataValue, 0.80679000000000012, 6.817039999999999E-08
DataValue, 0.81463000000000008, 6.47594E-08
DataValue, 0.82413, 6.63214E-08
DataValue, 0.83063000000000009, 6.50944E-08
DataValue, 0.85048000000000012, 6.778E-08
DataValue, 0.85620000000000007, 6.36332E-08
DataValue, 0.86264000000000007, 6.4918999999999987E-08
DataValue, 0.87079000000000006, 7.2362799999999987E-08
DataValue, 0.87885, 7.15656E-08
DataValue, 0.88663, 6.80048E-08
DataValue, 0.89463, 6.8652799999999989E-08
DataValue, 0.90263, 7.23214E-08
DataValue, 0.92120000000000013, 6.8599999999999992E-08
DataValue, 0.92724000000000006, 6.3836999999999991E-08
DataValue, 0.93464, 6.3003E-08
DataValue, 0.94274, 6.36286E-08
DataValue, 0.95058000000000009, 6.3166799999999988E-08
DataValue, 0.95663000000000009, 6.18046E-08
DataValue, 0.9646300000000001, 6.2065199999999991E-08
DataValue, 0.97262, 6.10336E-08
DataValue, 0.98079, 6.18218E-08
DataValue, 0.98863000000000012, 6.14414E-08
DataValue, 0.99658000000000013, 5.9051399999999992E-08
DataValue, 1.0050400000000002, 6.0796E-08
DataValue, 1.0126300000000001, 5.9314199999999995E-08
DataValue, 1.0212800000000002, 5.7771199999999993E-08
DataValue, 1.0286300000000002, 5.9161199999999994E-08
DataValue, 1.0366300000000002, 5.8618199999999993E-08
DataValue, 1.04462, 5.7179999999999993E-08
DataValue, 1.05328, 5.6317599999999993E-08
DataValue, 1.07482, 5.5749199999999996E-08
DataValue, 1.0825900000000002, 5.6275599999999992E-08
DataValue, 1.09063, 5.36946E-08
DataValue, 1.09864, 5.30728E-08
DataValue, 1.10664, 5.19468E-08
DataValue, 1.11463, 5.32822E-08
DataValue, 1.12264, 5.2201999999999993E-08
