
SetupTitle, I/V-t Sampling
PrimitiveTest, I/V-t Sampling
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Time
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 200.00000000000003
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, I1
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1
TestParameter, Output.Graph.YAxis.Top, 0.1
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 09/17/2025 19:44:10
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 6
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, b977c046-67fb-4f3a-928a-a7273b15a33f
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 200.00000000000003
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -1.1E-09
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 8.3E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.013079667063020212
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.013079667063020212
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.013079667063020212
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.013079667063020212
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.013079667063020212
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V-t Sampling
Dimension1, 100001, 100001
Dimension2, 1, 1
DataName, Time, I1
DataValue, 0.018060000000000003, 8.205819999999999E-08
DataValue, 0.02664, 6.27584E-08
DataValue, 0.03463, 5.1448399999999994E-08
DataValue, 0.042640000000000004, 4.3737599999999996E-08
DataValue, 0.050580000000000007, 3.8194199999999995E-08
DataValue, 0.058640000000000005, 3.4074199999999996E-08
DataValue, 0.066630000000000009, 3.0603999999999994E-08
DataValue, 0.074640000000000012, 2.7819399999999998E-08
DataValue, 0.082630000000000009, 2.5601199999999996E-08
DataValue, 0.090640000000000012, 2.3840199999999998E-08
DataValue, 0.098630000000000009, 2.2299199999999998E-08
DataValue, 0.10659, 2.0900599999999998E-08
DataValue, 0.11463000000000001, 1.9723199999999998E-08
DataValue, 0.12264000000000001, 1.8717399999999997E-08
DataValue, 0.13063000000000002, 1.77982E-08
DataValue, 0.13859000000000002, 1.7102199999999997E-08
DataValue, 0.14658000000000002, 1.6279199999999997E-08
DataValue, 0.15464, 1.5594199999999998E-08
DataValue, 0.16263000000000003, 1.50234E-08
DataValue, 0.17064000000000001, 1.4429799999999998E-08
DataValue, 0.17863, 1.3954999999999998E-08
DataValue, 0.18660000000000002, 1.3401199999999998E-08
DataValue, 0.19458, 1.2994599999999998E-08
DataValue, 0.20264000000000002, 1.2580999999999999E-08
DataValue, 0.21063, 1.21932E-08
DataValue, 0.21859, 1.1847799999999999E-08
DataValue, 0.22663000000000003, 1.1515999999999999E-08
DataValue, 0.23459000000000002, 1.1178199999999999E-08
DataValue, 0.24263, 1.0915399999999999E-08
DataValue, 0.25092000000000003, 1.0642799999999999E-08
DataValue, 0.25863, 1.04444E-08
DataValue, 0.26659000000000005, 1.01104E-08
DataValue, 0.2896, 9.4718E-09
DataValue, 0.31618, 7.66E-09
DataValue, 0.33351000000000003, 7.2983999999999995E-09
DataValue, 0.35739000000000004, 9.1506E-09
DataValue, 0.36266000000000004, 1.13266E-08
DataValue, 0.36667000000000005, 1.02578E-08
DataValue, 0.37064, 8.4773E-09
DataValue, 0.37458, 7.1528E-09
DataValue, 0.37882000000000005, 6.7023E-09
DataValue, 0.38263, 6.9864E-09
DataValue, 0.38663000000000003, 7.4278E-09
DataValue, 0.39062, 7.7517E-09
DataValue, 0.39458000000000004, 7.8179E-09
DataValue, 0.39864000000000005, 7.6527E-09
DataValue, 0.40263000000000004, 7.4527E-09
DataValue, 0.40663000000000005, 7.2812E-09
DataValue, 0.41072000000000003, 7.1724E-09
DataValue, 0.41473000000000004, 7.1551E-09
DataValue, 0.41879000000000005, 7.1463E-09
DataValue, 0.42463, 7.1453E-09
DataValue, 0.42858, 7.0827E-09
DataValue, 0.43263, 6.9869E-09
DataValue, 0.43658, 6.8904E-09
DataValue, 0.44263, 6.8306999999999996E-09
DataValue, 0.44663, 6.8029E-09
DataValue, 0.45063000000000003, 6.7702E-09
DataValue, 0.45479, 6.7113E-09
DataValue, 0.45863000000000004, 6.6513E-09
DataValue, 0.46258000000000005, 6.6357E-09
DataValue, 0.46663000000000004, 6.5772E-09
DataValue, 0.47263000000000005, 6.4925E-09
DataValue, 0.47859, 6.4347E-09
DataValue, 0.48478000000000004, 6.392E-09
DataValue, 0.48863000000000006, 6.3541E-09
DataValue, 0.49262000000000006, 6.3155E-09
DataValue, 0.49663, 6.265E-09
DataValue, 0.50062000000000006, 6.23E-09
DataValue, 0.50552000000000008, 6.2008E-09
DataValue, 0.51058, 6.1583E-09
DataValue, 0.51458, 6.1059E-09
DataValue, 0.51891000000000009, 6.0333E-09
DataValue, 0.52485, 6.0303E-09
DataValue, 0.52862000000000009, 5.9787E-09
DataValue, 0.53459, 5.9093E-09
DataValue, 0.5386200000000001, 5.8876E-09
DataValue, 0.54262, 5.887E-09
DataValue, 0.54816000000000009, 5.8537E-09
DataValue, 0.55264, 5.7988E-09
DataValue, 0.55663000000000007, 5.7244E-09
DataValue, 0.56058000000000008, 5.6957E-09
DataValue, 0.56664, 5.7245E-09
DataValue, 0.57063000000000008, 5.6756E-09
DataValue, 0.57463000000000009, 5.6334E-09
DataValue, 0.58299, 5.5579E-09
DataValue, 0.5866300000000001, 5.5215E-09
DataValue, 0.59058, 5.5214E-09
DataValue, 0.59658, 5.4502E-09
DataValue, 0.60063, 5.4134E-09
DataValue, 0.60663, 5.4094E-09
DataValue, 0.61064000000000007, 5.3569E-09
DataValue, 0.61462, 5.3329E-09
DataValue, 0.61878, 5.3021E-09
DataValue, 0.62473, 5.2743E-09
DataValue, 0.62864000000000009, 5.2511E-09
DataValue, 0.6345900000000001, 5.2215E-09
DataValue, 0.63863, 5.1723E-09
DataValue, 0.64258, 5.1781E-09
DataValue, 0.6467, 5.1738E-09
DataValue, 0.65064000000000011, 5.1362E-09
DataValue, 0.65462000000000009, 5.1041E-09
DataValue, 0.65862000000000009, 5.0646E-09
DataValue, 0.66408, 5.058E-09
DataValue, 0.66863000000000006, 5.008E-09
DataValue, 0.67263000000000006, 4.9856E-09
DataValue, 0.67663000000000006, 4.9639E-09
DataValue, 0.68263000000000007, 4.95E-09
DataValue, 0.68663000000000007, 4.9234E-09
DataValue, 0.69058000000000008, 4.8754E-09
DataValue, 0.69693, 4.8164E-09
DataValue, 0.70464, 4.8408E-09
DataValue, 0.71064, 4.8097E-09
DataValue, 0.71664, 4.746E-09
DataValue, 0.72263000000000011, 4.7264E-09
DataValue, 0.72859000000000007, 4.6802E-09
DataValue, 0.73459000000000008, 4.6699E-09
DataValue, 0.74064000000000008, 4.6273E-09
DataValue, 0.74663, 4.6245E-09
DataValue, 0.75264000000000009, 4.592E-09
DataValue, 0.75863, 4.5404E-09
DataValue, 0.7646400000000001, 4.5162E-09
DataValue, 0.7706400000000001, 4.4669E-09
DataValue, 0.77664000000000011, 4.4362E-09
DataValue, 0.78264000000000011, 4.4486E-09
DataValue, 0.78859, 4.4171E-09
DataValue, 0.79464, 4.3752E-09
DataValue, 0.80064, 4.3626E-09
DataValue, 0.80663000000000007, 4.3289E-09
DataValue, 0.81259, 4.3137E-09
DataValue, 0.81863000000000008, 4.2895E-09
DataValue, 0.82464, 4.2749E-09
DataValue, 0.83063000000000009, 4.2195E-09
DataValue, 0.83664, 4.1674E-09
DataValue, 0.8426300000000001, 4.2184E-09
DataValue, 0.84859000000000007, 4.1931E-09
DataValue, 0.85463000000000011, 4.17E-09
DataValue, 0.86059000000000008, 4.1032E-09
DataValue, 0.86463000000000012, 4.0776E-09
DataValue, 0.87064000000000008, 4.0909E-09
DataValue, 0.87663, 4.0631E-09
DataValue, 0.8825900000000001, 4.0688E-09
DataValue, 0.88863, 4.0267E-09
DataValue, 0.8947, 4.0017E-09
DataValue, 0.90063, 4.015E-09
DataValue, 0.90664000000000011, 4.0082E-09
DataValue, 0.91263, 3.9628E-09
DataValue, 0.91864000000000012, 3.8894E-09
DataValue, 0.92459, 3.9427E-09
DataValue, 0.93059, 3.9172E-09
DataValue, 0.93663000000000007, 3.9038E-09
DataValue, 0.94264, 3.8914E-09
DataValue, 0.94863000000000008, 3.8794E-09
DataValue, 0.95459, 3.8622E-09
DataValue, 0.96059, 3.8116E-09
DataValue, 0.96664, 3.7901E-09
DataValue, 0.97259000000000007, 3.7665E-09
DataValue, 0.97864000000000007, 3.768E-09
DataValue, 0.98463000000000012, 3.7897E-09
DataValue, 0.99064000000000008, 3.7614E-09
DataValue, 0.99459000000000009, 3.7287E-09
DataValue, 0.99877, 3.6875E-09
DataValue, 1.0026300000000001, 3.6986E-09
DataValue, 1.00662, 3.7026E-09
DataValue, 1.01264, 3.6955E-09
DataValue, 1.0186300000000002, 3.6073E-09
DataValue, 1.02262, 3.6336E-09
DataValue, 1.02662, 3.6258E-09
DataValue, 1.03058, 3.578E-09
DataValue, 1.03864, 3.5812E-09
DataValue, 1.0445900000000001, 3.5849E-09
DataValue, 1.05064, 3.5803E-09
DataValue, 1.05664, 3.5302E-09
DataValue, 1.06264, 3.508E-09
DataValue, 1.0686300000000002, 3.5237E-09
DataValue, 1.07464, 3.5028E-09
DataValue, 1.08063, 3.4904E-09
DataValue, 1.08664, 3.4529E-09
DataValue, 1.09263, 3.4438E-09
DataValue, 1.09864, 3.4524E-09
DataValue, 1.1045800000000001, 3.453E-09
DataValue, 1.10864, 3.4491E-09
DataValue, 1.1126200000000002, 3.4367E-09
DataValue, 1.1166200000000002, 3.3788E-09
DataValue, 1.12071, 3.3902E-09
DataValue, 1.12464, 3.3926E-09
DataValue, 1.12908, 3.3865E-09
DataValue, 1.13464, 3.385E-09
DataValue, 1.14059, 3.3394E-09
DataValue, 1.1468, 3.3424E-09
DataValue, 1.15077, 3.3403E-09
DataValue, 1.15459, 3.3019E-09
DataValue, 1.16063, 3.2552E-09
DataValue, 1.1666400000000001, 3.288E-09
DataValue, 1.17263, 3.2739E-09
DataValue, 1.1786400000000001, 3.2595E-09
DataValue, 1.18463, 3.2671E-09
DataValue, 1.1906400000000001, 3.2518E-09
DataValue, 1.1966400000000002, 3.1667E-09
DataValue, 1.2026400000000002, 3.1928E-09
DataValue, 1.20863, 3.2268E-09
DataValue, 1.21459, 3.1824E-09
DataValue, 1.22059, 3.1366E-09
DataValue, 1.2246400000000002, 3.1309E-09
DataValue, 1.2306300000000001, 3.1528E-09
DataValue, 1.2366400000000002, 3.1558E-09
DataValue, 1.24259, 3.138E-09
DataValue, 1.24859, 3.1155E-09
DataValue, 1.2546300000000001, 3.077E-09
DataValue, 1.25906, 3.0396E-09
DataValue, 1.2648100000000002, 3.0767E-09
DataValue, 1.26876, 3.0805E-09
DataValue, 1.2726300000000002, 3.0996E-09
DataValue, 1.27662, 3.0783E-09
DataValue, 1.2815500000000002, 3.0335E-09
DataValue, 1.2866300000000002, 3.0401E-09
DataValue, 1.29064, 3.0558E-09
DataValue, 1.29462, 3.038E-09
DataValue, 1.2999800000000001, 3.0233E-09
DataValue, 1.3046300000000002, 3.0339E-09
